ZipCode,NonHispanic,WhiteAlone,AfricanAmericanAlone,AmericanIndianAlaskaNative,AsianAlone,NativeHawaiianPacificIslander,OtherNonHispanic,Hispanic
28636,4322,4205,90,0,0,0,27,691
28637,1734,1642,64,0,4,0,24,0
28651,7241,7189,12,0,0,33,7,178
28658,23988,19598,2587,66,527,0,1210,3491
28662,114,114,0,0,0,0,0,0
28668,312,311,1,0,0,0,0,2
28676,3737,3693,10,0,34,0,0,291
28705,7023,6822,39,33,17,0,112,116
28723,10079,9074,626,21,90,0,268,1103
28740,722,694,0,22,3,0,3,37
28743,1958,1933,0,8,17,0,0,29
28749,29,29,0,0,0,0,0,0
28757,116,111,0,0,0,0,5,0
28761,7560,7315,98,0,61,0,86,111
28771,7966,6969,13,895,0,1,88,129
28772,1045,1043,0,0,0,0,2,16
28773,2995,2916,42,11,19,0,7,61
28782,6487,6123,286,0,0,0,78,75
28789,5115,4134,47,775,12,0,147,166
28790,3216,3095,0,0,96,0,25,92
28791,13733,12774,380,0,167,151,261,1221
28804,20530,19395,404,101,229,18,383,1659
28006,1034,1002,0,0,0,0,32,42
28017,711,673,33,0,5,0,0,10
28021,13570,12103,1114,35,175,1,142,421
28023,14578,13370,644,9,77,10,468,1045
28036,16784,15175,843,80,310,22,354,1040
28480,2501,2448,4,9,0,0,40,35
28715,24252,23294,331,122,120,0,385,2066
28716,16958,16264,241,44,37,0,372,849
28729,3271,3224,0,0,47,0,0,0
28732,16720,15146,912,23,466,0,173,759
28733,10,7,0,3,0,0,0,0
28001,25364,20310,3948,100,467,9,530,1237
28007,714,54,660,0,0,0,0,0
28018,4608,4487,80,12,0,0,29,91
28020,2079,1960,0,0,119,0,0,3
28025,47599,36524,9394,92,536,43,1010,7230
28072,1278,1082,190,0,0,0,6,14
28432,1790,1331,459,0,0,0,0,0
28394,4950,4163,658,38,79,0,12,353
28395,2424,1656,517,66,63,0,122,42
28411,36490,31932,3436,13,550,0,559,1505
28452,920,429,491,0,0,0,0,14
28436,1837,1395,309,43,18,0,72,138
28441,2618,1615,925,39,0,0,39,1200
28443,21635,20235,520,80,164,0,636,503
28458,5718,2788,2890,11,7,0,22,1306
28463,8942,5417,3203,130,11,0,181,799
28479,6163,5248,614,21,108,0,172,111
28510,1448,1301,115,0,24,0,8,55
28512,3170,3097,36,3,0,0,34,66
28515,2438,1270,1022,10,9,0,127,146
28421,1431,913,501,0,0,0,17,154
28422,8090,5915,1812,110,0,0,253,314
28423,2187,598,685,826,26,2,50,172
28430,2036,1653,322,53,0,0,8,169
28445,6931,6594,88,41,15,0,193,347
